,Date,Week,SameDiv,SameConf,GameID,Team_V,Team_H,Final_V,Final_H,ML_V,ML_H,Injuries_V,Injuries_H,Division_V,Division_H,Conference_V,Conference_H,Szn_Win_per_V,Szn_Win_per_H,UD_tot_V,UD_tot_H,FV_tot_V,FV_tot_H,UD_win_per_V,UD_win_per_H,FV_win_per_V,FV_win_per_H,prev_win_rec_V,prev_win_rec_H,prev_loss_rec_V,prev_loss_rec_H,HC_win_per_V,HC_win_per_H,HC_g_V,HC_g_H,Prev_szn_win_per_V,Prev_szn_win_per_H,Off_Bye_Wk_V,Off_Bye_Wk_H,Winner
45,9/23/2018,3,N,Y,45,Chicago,Arizona,16,14,-265,219,3,13,NFCNorth,NFCWest,NFC,NFC,0.5,0,1,1,1,1,0,0,1,0,1,0,1,2,0.45098,0.428571,51,14,0.313,0.5,N,N,V
46,9/23/2018,3,N,Y,46,Dallas,Seattle,13,24,111,-130,9,14,NFCEast,NFCWest,NFC,NFC,0.5,0,1,2,1,0,0,0,1,0.5,1,0,1,2,0.550725,0.576087,138,92,0.563,0.563,N,N,H
47,9/23/2018,3,N,N,47,NewEngland,Detroit,10,26,-313,254,11,9,AFCEast,NFCNorth,AFC,NFC,0.5,0,0,1,2,1,0.5,0,0.5,0,1,0,1,2,0.608511,0.241379,235,29,0.813,0.563,N,N,H
48,9/24/2018,3,N,N,48,Pittsburgh,TampaBay,30,27,100,-120,8,11,AFCNorth,NFCSouth,AFC,NFC,0,1,0,2,2,0,0.5,1,0,0.5,0,2,2,0,0.629482,0.470588,251,34,0.813,0.313,N,N,V
49,9/27/2018,4,N,Y,49,Minnesota,LARams,31,38,260,-330,11,6,NFCNorth,NFCWest,NFC,NFC,0.333,1,0,0,3,3,0.5,0.5,0.333333,1,1,3,2,0,0.560345,0.569892,116,93,0.813,0.688,N,N,H
50,9/30/2018,4,Y,Y,50,Miami,NewEngland,7,38,250,-310,13,12,AFCEast,AFCEast,AFC,AFC,1,0.333,1,0,1,3,1,0.5,1,0.333333,3,1,0,2,0.41791,0.605932,67,236,0.375,0.813,N,N,H
51,9/30/2018,4,Y,Y,51,Houston,Indianapolis,37,34,-120,100,9,14,AFCSouth,AFCSouth,AFC,AFC,0,0.333,1,3,2,0,0,0.333333,0,0.5,0,1,3,2,0.471264,0.470588,87,68,0.25,0.25,N,N,V
52,9/30/2018,4,N,N,52,Cincinnati,Atlanta,37,36,160,-190,11,9,AFCNorth,NFCSouth,AFC,NFC,0.667,0.333,2,0,1,3,0.5,0.5,1,0.333333,2,1,1,2,0.522634,0.513889,243,72,0.438,0.625,N,N,V
53,9/30/2018,4,N,N,53,Buffalo,GreenBay,0,22,290,-380,10,9,AFCEast,NFCNorth,AFC,NFC,0.333,0.5,3,1,0,2,0.333333,0,0.5,0.5,1,1,2,1,0.673913,0.623016,92,252,0.563,0.438,N,N,H
54,9/30/2018,4,N,Y,54,Detroit,Dallas,24,26,120,-140,7,9,NFCNorth,NFCEast,NFC,NFC,0.333,0.333,2,2,1,1,0.5,0,0,1,1,1,2,2,0.266667,0.546763,30,139,0.563,0.563,N,N,H
